source,target
19862,3253
4115,348557
1315,1430
3260,19749
71,36825
2925,24465
93,197100
73,93
10065,196595
1892,172946
92,5648
25653,25638
86,9878
78820,173813
71,1706
2981,348594
4115,348600
1315,31093
71,7568
25691,25669
92,44
826,196611
25691,197574
3247,197030
19124,196602
71,32833
1671,21276
657,196657
1315,23976
92,19875
657,196602
2077,196595
1317,72
826,348543
71,851
15355,37093
79,33305
2889,273607
2660,24047
1315,13236
1315,2888
71,23978
3021,24627
2972,23695
4999,221006
9442,221006
72,196595
3013,24600
657,196595
2928,1702
2910,83
3728,204568
71,3473
826,86
71,1054
18105,196595
19862,2475
3014,9795
25691,25668
22402,42124
2925,38876
1315,348612
3022,196595
17493,348543
2991,11911
2421,199015
71,5047
93,4040
3195,196595
851,86
851,10498
76,1056
73,5858
71,32830
2354,348543
71,10846
2421,23694
4986,19749
2925,196595
821,283759
78820,196658
4999,5665
2421,23699
92,696
19124,348590
1892,2086
1315,196598
1888,21488
92,197544
36822,17493
1302,196731
2884,92
3260,209786
23261,348557
4999,15041
76,851
1315,42433
1892,2236
93,196657
2981,348579
3893,19749
72,196633
2504,23814
1315,23990
25691,25692
67890,1315
36822,23983
2660,19749
2421,23691
92,40392
1671,38149
826,71
4120,211406
72,844
2889,196595
2425,19749
71,2927
2354,348587
3636,204900
2861,6551
4115,208530
3493,92
36823,1317
2459,348571
2902,196595
2504,348647
2442,23747
1317,197267
92,199
36822,9821
4207,196595
13140,196595
821,19749
3021,196657
1888,6475
2574,2138
36823,4173
3340,4200
25691,25678
79,29109
3488,50462
9798,199804
25691,25683
4115,348581
3466,173413
1892,172966
78820,196595
2928,233618
71,348538
1892,35841
826,1317
18105,347431
1316,71
9798,2066
1315,348557
2228,199197
2972,23694
4115,196595
2981,24560
1892,204900
79,348648
86,37128
92,197525
18082,348543
3014,14798
2972,199197
92,5059
92,198632
92,3738
25691,25645
2421,175795
3195,24715
3537,198411
2921,173294
93,3253
18351,39341
2421,348507
76,196618
76,196614
83,1938
3258,199197
25691,25657
15355,19749
2177,2188
4134,199197
79,826
25691,25675
22399,199197
25691,25696
2921,196657
25691,348543
92,177268
5203,24296
2459,835
1316,348543
3013,348949
5710,348592
6584,29084
3339,177276
3222,196733
36823,2459
4967,348557
71,4085
79,5294
2699,350
71,23988
92,222119
2906,224917
2442,197030
2918,199188
92,3736
20719,1072
1315,348616
25691,25647
92,197116
4120,196595
2228,19749
2177,3492
10631,199197
4120,173679
657,1434
2071,19749
3728,25562
2859,90173
9798,348543
4999,348543
2906,199197
14098,348543
83,6537
1315,196706
93,5858
1888,2108
92,8161
2981,221579
10065,9968
2421,23698
6584,24701
1671,21277
5203,200609
2925,321653
2884,2869
2236,196595
1892,197255
36822,30696
3021,19749
2981,19749
18082,42124
31093,196595
10186,199197
25691,348557
831,197663
2226,55572
3466,53538
2746,348598
71,2612
18351,39339
2884,1315
18082,39092
4115,196657
69147,196657
22399,348600
3207,221006
92,12884
92,22897
92,197527
4125,348548
2660,114
19124,348557
826,851
10631,33243
2126,178143
19124,3533
3013,348458
93,197557
18105,224911
3258,19749
86,196607
2459,2480
18351,197030
25691,25663
31093,17493
2177,199197
2406,23641
4999,348937
5710,196602
3462,221006
19124,348543
36823,348544
67890,20129
86,3842
2725,348543
92,201716
86,348564
93,347406
72,1316
6584,29102
2126,123
826,348527
844,20534
1888,2094
13140,348543
14098,199197
4120,173683
3636,348543
3493,20711
2743,19749
2861,24365
86,4040
3466,210180
2442,17025
2425,208181
2222,20033
2972,19749
1888,851
92,197023
2126,32294
36822,20916
11373,2226
86,196598
3242,36617
2222,196657
851,71
3258,196602
5203,3386
4999,3921
3195,19749
4999,51889
2743,10840
79,196595
2981,198892
2889,24392
657,20356
3258,23698
92,238634
3503,4970
2725,24086
2459,221006
2108,230900
71,853
1888,21473
3537,173471
3483,196611
3021,325583
2746,26115
18105,348543
3242,24591
2921,173298
1888,3242
22399,196602
851,10183
3537,28187
2925,18217
6584,23816
2421,23693
3339,24990
9798,198423
86,196612
19124,348573
4134,199188
1315,14693
2174,22207
3339,24993
92,9608
19124,348576
3022,348548
9508,19749
36823,2927
2859,24361
1888,196608
36823,72
6584,25637
92,196657
2108,18453
3339,8464
4551,24472
71,197655
851,204900
19124,19749
2236,196602
86,75
2921,173302
1315,196607
179321,853
2077,1675
92,197122
2126,173058
71,30692
1888,6464
10065,348543
9508,17582
25691,25670
3728,348468
2615,196602
92,197553
2442,199878
4165,92
3339,22957
71,32834
2444,196607
92,17164
2354,348957
1888,2236
92,197529
2574,348607
1302,61033
3537,196657
4120,173682
25691,25693
3492,196602
2108,348557
2699,33265
4115,221006
1302,196595
10067,216080
71,20906
1317,173983
1888,21489
2354,199188
22402,39092
3469,25139
2921,83191
1888,21492
2928,348945
2910,21254
92,221006
2910,196741
2889,30681
3195,24714
2226,173110
1315,196775
18351,23744
92,7520
93,347109
22399,348601
15355,348543
9798,1229
821,348621
1315,2459
36823,348542
2743,173219
844,19978
5199,348543
67890,200394
821,4970
831,9855
5203,348605
4643,19749
3195,221006
3728,204569
2442,23741
2421,43390
5747,196602
19124,348583
4999,208530
1892,196750
86,24819
86,5228
2425,20033
2910,347436
1315,18414
93,2475
92,260338
2918,24439
10071,19749
18351,24259
36822,23985
2226,56025
3340,3492
2884,2444
1315,4185
2370,19749
73,19863
36822,30694
36823,348540
1315,348581
10065,174786
92,821
71,32831
18105,196657
5747,348543
36823,92
2222,22283
19124,348581
92,197541
71,1315
3728,25563
72,3480
79,2459
72,5597
2925,348448
71,197253
2615,19749
1315,24002
2126,348557
1315,1080
5710,196595
1315,348615
36822,197254
92,196612
4551,26721
14098,204900
78820,36617
851,196608
36823,348543
71,20911
1317,95
2177,196608
2459,3473
3493,196595
2743,196595
2421,196595
3,2574
83,2444
2226,32533
2725,348557
1302,196733
821,348557
22402,283
2925,221006
3728,25559
2743,217166
2889,19749
1888,21490
2869,348543
76,19845
25691,25681
36823,348538
36823,196609
2236,22293
92,75
3339,348433
3022,199197
18351,348543
3021,348954
92,197505
2459,26010
2928,24475
2861,347424
4967,348543
2906,19749
71,348544
2126,1702
821,264309
2228,348557
2574,196777
3339,196595
1315,3539
25653,25670
1315,196599
2725,9350
79,1305
78820,4731
1302,2884
1315,5060
2228,196602
2921,348452
92,5584
2222,22282
2910,348514
2459,858
92,40398
71,20487
2370,1305
1888,3458
3728,196595
1888,197255
9798,196595
79,844
71,197361
1302,196602
2444,196602
3483,199188
2743,348543
2473,23777
3493,348543
17493,199197
2925,24462
86,5858
1892,196658
3021,348543
2108,21735
2442,23740
2459,17903
92,19865
2071,348557
2743,217164
92,1934
72,196658
92,2453
851,199197
2859,348557
2746,24176
36822,1315
3340,196657
2109,14299
18105,19749
1892,60838
10065,196658
92,197018
1302,9610
3537,197143
4999,4970
19862,86
2177,204900
71,23989
79,1317
4120,348604
3503,17774
3488,25219
25653,25649
2354,23579
79,2177
92,2128
36822,30692
36822,23991
67890,196611
71,36823
2226,69320
2906,348557
3537,348557
2370,348557
853,196607
3537,42701
36823,196607
1671,196595
2425,208354
2421,23697
2859,197574
2354,17409
2725,348579
86,3479
92,898
3339,16576
22399,42120
2459,2229
25653,25672
2859,19749
3893,348543
5203,348554
92,5566
2743,785
1892,196712
93,196607
4999,348938
1315,208530
19124,221006
2421,4321
2228,348450
2222,22280
2109,19749
2918,200622
86,3434
2126,74145
72,1315
71,23184
92,197677
71,31093
9798,348463
657,18526
92,197501
2928,8860
4115,348565
3466,196741
2108,9350
76,212790
